date,course,atd_start,atd_mid,atd_end,enrolled,temp_tm2,temp_tm1,temp_tm0,weather,uu_new_cases,uu_new_cases_7da
3/2/2022,3200,6,7,6,84.00,57.4,59.92,61.88,Scattered Clouds,8,5.4
3/14/2022,3200,7,8,8,84.00,43.23,44.54,45.63,Few Clouds,NA,NA
3/16/2022,3200,6,9,7,84.00,45.55,47.44,47.05,Broken Clouds,NA,NA
3/21/2022,3200,8,11,9,84.00,38.88,40.23,41.22,Scattered Clouds,NA,NA
3/23/2022,3200,7,9,8,84.00,49.44,52.14,54.37,Clear Sky,NA,NA
3/28/2022,3200,8,8,7,84.00,64.9,66.52,67.98,Broken Clouds,NA,NA
3/30/2022,3200,7,9,9,84.00,53.64,55.38,56.59,Few Clouds,NA,NA
4/4/2022,3200,7,8,8,84.00,58.82,60.24,60.67,Broken Clouds,NA,NA
4/6/2022,3200,6,7,5,84.00,42.55,44.13,45.43,Few Clouds,NA,NA
1/19/2022,4400,45,44,47,145.00,30,31,31,Mostly Cloudy,54,117.3
1/24/2022,4400,44,46,45,145.00,31,35,37,Partly Cloudy,29,71.3
1/26/2022,4400,47,50,49,145.00,29,32,36,Clear Sky,48,70.3
1/31/2022,4400,46,48,48,145.00,33,37,42,Partly Cloudy,48,70.3
2/2/2022,4400,42,45,44,145.00,21.96,24.33,25.11,Clear Sky,28,46.7
2/7/2022,4400,44,47,47,145.00,34.68,38.08,41.16,Clear Sky,11,30.7
2/9/2022,4400,45,50,49,145.00,39.88,42.55,44.65,Scattered Clouds,24,30.1
2/14/2022,4400,51,54,52,145.00,45.09,48.83,52.86,Broken Clouds,20,22.1
2/16/2022,4400,41,52,53,145.00,32.77,31.87,31.68,Light Snow,15,16.1
2/23/2022,4400,43,58,41,145.00,20.08,21.27,22.23,Overcast Clouds,17,13.6
2/28/2022,4400,41,54,42,145.00,40.37,39.65,44.91,Broken Clouds,8,5.4
3/2/2022,4400,51,44,44,145.00,51.3,55.78,58.53,Scattered Clouds,8,5.4
3/14/2022,4400,51,57,45,145.00,41.32,42.23,43.27,Few Clouds,NA,NA
3/16/2022,4400,51,47,53,145.00,42.21,43.92,46.45,Broken Clouds,NA,NA
3/21/2022,4400,40,43,52,145.00,35.38,38.08,39.58,Broken Clouds,NA,NA
3/23/2022,4400,48,50,45,145.00,43.47,47.82,50.83,Clear Sky,NA,NA
